product_name,Price,Discount,Date
Apple iPhone 15,67711,25,2023-09-15
Apple iPhone 15,79900,11,2023-09-16
Apple iPhone 15,79900,11,2023-09-17
Apple iPhone 15,89900,0,2023-09-20
Apple iPhone 15,79900,11,2023-09-22
Apple iPhone 15,89900,0,2023-09-28
Apple iPhone 15,79900,11,2023-09-29
Apple iPhone 15,79900,11,2023-09-30
Apple iPhone 15,79900,11,2023-10-01
Apple iPhone 15,79900,11,2023-10-02
Apple iPhone 15,89900,0,2023-10-02
Apple iPhone 15,79900,11,2023-10-03
Apple iPhone 15,79900,11,2023-10-04
Apple iPhone 15,79900,11,2023-10-05
Apple iPhone 15,79900,11,2023-10-06
Apple iPhone 15,79900,11,2023-10-07
Apple iPhone 15,79900,11,2023-10-08
Apple iPhone 15,60999,32,2025-01-02
Apple iPhone 15,74900,17,2025-01-02
Apple iPhone 15,60999,32,2025-01-03
Apple iPhone 15,60499,33,2025-01-07
Apple iPhone 15,56999,37,2025-01-12
Apple iPhone 15,57999,35,2025-01-13
Apple iPhone 15,68499,24,2025-01-14
Apple iPhone 15,57999,35,2025-01-14
Apple iPhone 15,68499,24,2025-01-14
Apple iPhone 15,57999,35,2025-01-14
Apple iPhone 15,58499,35,2025-01-15
Apple iPhone 15,58999,34,2025-01-17
Apple iPhone 15,87999,2,2025-01-20
Apple iPhone 15,58999,34,2025-01-20
Apple iPhone 15,68999,23,2025-01-20
Apple iPhone 15,58999,34,2025-01-21
Apple iPhone 15,59999,33,2025-01-22
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 36GB Unified Memory, 512GB) - Silver",249900,0,2023-12-05
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 36GB Unified Memory, 512GB) - Silver",249900,0,2023-12-06
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 36GB Unified Memory, 512GB) - Silver",249900,0,2023-12-07
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 36GB Unified Memory, 512GB) - Silver",234990,6,2024-04-10
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 36GB Unified Memory, 512GB) - Silver",229290,8,2024-05-03
